total_quant_of_product,total_value_product,pieaces,total_emp,export_value,import_value,date,total_quant_species,province,type,unit_value,production_per_worker,value_per_worker,percent_share_of_total_production,percent_share_of_total_value,net_trade_value
130681.0,94.0,Anchovies,487.0,5985000.0,19110000.0,2025-03-14,77064.0,Trat,Aquaculture,0.0007193088513249822,268.33880903490757,0.19301848049281314,1.4517831811516704,0.9477717281710022,-13125000.0
9598.0,61.0,Scads,763.0,24395000.0,25200000.0,2024-12-17,30712.0,Krabi,Aquaculture,0.006355490727234841,12.579292267365663,0.0799475753604194,0.026895993825186464,2.339408440727506e-08,-805000.0
92307.0,14.0,Squids,642.0,18165000.0,19005000.0,2023-12-22,31704.0,Narathiwat,Inland Capture,0.00015166780417519797,143.7803738317757,0.021806853582554516,0.3830663166571993,4.797393740556034e-09,-840000.0
55775.0,21.0,Sardinellas,194.0,17640000.0,8960000.0,2024-12-14,27982.0,Phangnga,Marine Capture,0.0003765127745405648,287.5,0.10824742268041238,0.15629548401748022,8.053701189389774e-09,8680000.0
89127.0,64.0,Mackerels,792.0,28070000.0,34545000.0,2024-03-16,17160.0,Yala,Marine Capture,0.0007180764527023237,112.5340909090909,0.08080808080808081,0.24975612019768637,2.4544613148616455e-08,-6475000.0
52858.0,73.0,Shrimps/prawns,961.0,7910000.0,9415000.0,2023-10-10,81848.0,Ranong,Inland Capture,0.001381058685534829,55.00312174817898,0.07596253902185224,0.2193562716355882,2.501498164718503e-08,-1505000.0
52095.0,23.0,Carangids,881.0,14280000.0,14280000.0,2023-08-20,89391.0,Chachoengsao,Inland Capture,0.0004415011037527594,59.1316685584563,0.026106696935300794,0.21618988555859037,7.881432573770626e-09,0.0
45334.0,83.0,Crabs,402.0,33180000.0,9345000.0,2024-12-21,81401.0,Narathiwat,Marine Capture,0.0018308554285966384,112.77114427860697,0.2064676616915423,0.12703719358939394,3.183129517711196e-08,23835000.0
54253.0,34.0,Tunas,100.0,18410000.0,31220000.0,2024-05-20,66872.0,Phangnga,Inland Capture,0.0006266934547398301,542.53,0.34,0.1520304597830633,1.3039325735202492e-08,-12810000.0
40317.0,64.0,Threadfin breams,150.0,24570000.0,15715000.0,2023-08-30,67520.0,Samut Songkhram,Marine Capture,0.0015874196988863258,268.78,0.4266666666666667,0.16731217230186557,2.193094281397044e-08,8855000.0
141599.0,62.0,Anchovies,413.0,29855000.0,25095000.0,2025-01-10,66769.0,Chon Buri,Inland Capture,0.00043785619954943186,342.8547215496368,0.15012106537530268,1.573075249408065,0.6251260334744909,4760000.0
97396.0,76.0,Scads,453.0,25480000.0,8295000.0,2023-09-25,91962.0,Krabi,Aquaculture,0.0007803195203088423,215.00220750551875,0.16777041942604856,0.40418524030836867,2.6042994591589895e-08,17185000.0
86548.0,22.0,Squids,112.0,23135000.0,20825000.0,2023-12-08,20325.0,Samut Prakan,Marine Capture,0.0002541942043721403,772.75,0.19642857142857142,0.3591669491376308,7.538761592302337e-09,2310000.0
57435.0,83.0,Sardinellas,647.0,19355000.0,7980000.0,2025-01-30,37982.0,Samut Prakan,Inland Capture,0.0014451118655871855,88.77125193199382,0.12828438948995363,0.6380664902277009,0.8368622706190765,11375000.0
79844.0,68.0,Mackerels,181.0,15050000.0,6055000.0,2024-06-04,67860.0,Trang,Marine Capture,0.0008516607384399579,441.1270718232044,0.3756906077348066,0.22374283506753365,2.6078651470404984e-08,8995000.0
56586.0,12.0,Shrimps/prawns,998.0,17290000.0,24325000.0,2023-05-23,38664.0,Bangkok Metropolis,Inland Capture,0.0002120665889089174,56.699398797595194,0.012024048096192385,0.23482715930930784,4.112051777619457e-09,-7035000.0
52087.0,20.0,Carangids,316.0,17010000.0,9835000.0,2024-11-16,78365.0,Satun,Inland Capture,0.00038397296830303145,164.83227848101265,0.06329113924050633,0.14596078666102183,7.670191608942641e-09,7175000.0
48071.0,18.0,Crabs,862.0,28140000.0,28980000.0,2023-07-07,91659.0,Phuket,Marine Capture,0.00037444613176343324,55.766821345707655,0.02088167053364269,0.19949062268330925,6.168077666429185e-09,-840000.0
54099.0,31.0,Tunas,467.0,25095000.0,29190000.0,2024-02-18,26055.0,Phatthalung,Marine Capture,0.0005730235309340284,115.84368308351178,0.06638115631691649,0.1515989133099357,1.1888796993861097e-08,-4095000.0
